㐀,キュウ おか
摩,マ ビ バ ミ する
摪,ショウ ソウ
摫,キ
摬,エイ ヨウ キョウ ゴウ
摭,セキ シャク ひろう
摮,ゴウ ギョウ コウ キョウ うつ
摯,シ チ シツ シチ いたる つかむ にえ
摰,ゲツ ゲチ セイ
摱,バン マン
摲,サン セン ゼン
摳,コウ ク オウ オ あげる うつ さぐる つまどる なげる ひきかける わせ かかげる
摴,チョ チ
摵,サク シャク シュク ベイ メイ
摶,タン ダン セン テン デン まるい まるめる
摷,ショウ ソウ リョウ ロウ
摸,モ ボ バク マク さぐる もつ
摹,ボ モ うつす かた ならう のっとる のり
摺,ショウ ロウ すり する
摻,サン シン ショウ セン
摼,コウ キョウ ケン
摽,ヒョウ ヒャク ホウ ヘキ うつ おちる かるい すえ すてる はらう
摾,キョウ ゴウ
摿,イン オン
撀,コウ ク
撁,ケン
撂,リャク
撃,ゲキ ケキ うつ
撅,ケツ カチ ケイ ケ ケチ ほる
撆,ヘツ ベツ うつ
撇,ヘイ ヘチ ヘツ ベツ うつ ぬぐう はらう
撈,ロウ リョウ
撉,トン
撊,カン ゲン ケン
撋,ゼン ネン ズイ ニ ダ ナ ジュン ニン もむ
撌,キ
撍,サン シン セン ゼン
撎,エイ イ
撏,サン ザン シン ジン セン ゼン とる
撐,トウ チョウ ひかえばし ひかえばしら
撑,トウ ひかえばしら
撒,サン サツ まく
撓,ドウ トウ ニョウ コウ ジョウ キョウ たわめる みだす みだれる たわむ
撔,コウ ギョウ
撕,セイ サイ シ
撖,カン ケン コン
撗,コウ オウ カク
撘,トウ のる
撙,ソン
撚,ネン デン エン ひねる よる より
撛,リン たすける ぬく
撜,ショウ ジョウ トウ すくう
撝,イ キ あげる さく さしまねく さす へりくだる
撞,ドウ シュ トウ ジョウ つく
撟,キョウ コウ あがる いつわる かこつける かすめる ただす ためる たわめる まげる あげる
撠,ゲキ ケキ キャク
撡,ソウ サン
撢,タン トン イン ジン ドン
撣,タン ダン セン ゼン テン
撤,テツ デチ テチ
撥,ハツ バチ バツ ハチ ボチ おさめる はねる かかげる ばち
撦,シャ
撧,ゼツ
撨,ショウ ソウ ス
撩,リョウ ロウ
撪,ホン
撫,ブ フ ボ モ なでる
撬,キョウ
播,ハ ハン バン まく
撮,サツ サチ サイ セ サン セツ セチ とる つまむ
撯,チャク
撰,セン サン ザン えらぶ
撱,キ タ イ
撲,ボク ホク ハク うつ
撳,キン
撴,トン
撹,カク コウ みだす
撻,タツ タチ むちうつ
撼,カン ゴン うごかす うごく
撽,キョウ ゲキ ケキ コウ キャク うつ
撾,タ テ カ うつ
撿,ケン レン くくる さぐる しらべる とりしまる みまわる
擀,カン
擁,ヨウ ユ いだく
擂,ライ レ する
擃,ドウ ニョウ
擄,ロ える かすめる したがえる
擅,セン ゼン ほしいまま
擆,チャク
擇,タク ジャク エキ ヤク えらぶ
擈,ハク
擉,サク タク ショク ゾク ソク さす やす
擊,ゲキ ケキ ケイ キャク うつ
擋,トウ おおいかくす さける
擌,サク シャク
操,ソウ みさお あやつる とる
擎,ギョウ ケイ ささげる たかい もつ
擏,ケイ ギョウ ささげる
擐,カン ケン セン ゲン つける
擑,ショウ
擒,キン ゴン とらえる とりこ
擓,カイ ケ
擔,タン トン セン ゼン エン かつぐ になう
擕,ケイ たずさえる
擖,カツ ケ ガツ ゲチ ヨウ ケイ カチ トウ
擗,ヘキ ビャク ヒャク ハク ひらく
擘,ハク ヘキ ビャク ヒャク さく つんざく
擙,オウ
據,キョ コ ゴ ケキ キャク よる
擛,ヨウ
擟,ビ ミ
擠,セイ サイ おす
擡,タイ ダイ もたげる
擢,テキ タク ジョク ぬきんでる あげる ぬく
擣,トウ チュウ ジュ つく うつ
擤,コウ キョウ
擥,ラン とる
擦,サツ セチ する すれる
擧,キョ コ ヨ あげる
擨,ヤ イ
擩,ジュ ニュ ズイ ゼツ ネチ ドウ ヌ セン
擪,チョウ ジョウ オウ エン ヨウ ニョウ おさえる
擫,ヨウ おさえる
擬,ギ なぞらえる はかる まがい もどき
擭,ワク コ カク カ コク
擮,シツ セツ ゼチ
擯,ヒン しりぞける
擰,ドウ ニョウ
擱,カク おく
擲,テキ ジャク なげうつ なぐる
擳,シツ シチ セツ セチ
擴,カク コウ オウ ひろげる
擵,マ
擶,セン
擷,ケツ ゲチ つむ
擸,リョウ ロウ
擹,タン
擺,ハイ ベ ひらく
擻,ソウ ス
擼,ロ
擽,レキ リャク ラク ヤク くすぐる こそぐる
擾,ジョウ ニョウ ドウ ノウ みだす みだれる
擿,テキ ジャク チャク タク あばく かかげる さぐる なげうつ
攀,ハン よじる
攁,ヨウ
攂,ライ する
攃,サツ サチ
攄,チョ のべる
攅,サン あつまる
攆,デン ネン
攇,ケン コン
攈,キン ヒ クン ひろう
攉,カク たたく
攊,レキ リャク
攋,ラツ ラチ ライ ラン
攌,カン ゲン ワン
攍,エイ ヨウ
攎,ロ ラ
攏,ロウ ル かすめる
攐,ケン コン かかげる
攓,ケン とる ぬく
攔,ラン さえぎる しきり てすり
攕,サン セン
攖,エイ ヨウ
攗,ビ ミ
攘,ジョウ ニョウ ドウ ショウ ぬすむ はらう
攙,サン ザン シン
攛,サン
攜,ケイ ゲ たずさえる
攝,セツ ショウ ジョウ ニョウ キョウ ソウ とる かねる かわる おさめる
攞,ラ
攟,クン ひろう
攠,ビ ミ バ マ
攡,リ チ
攢,サン あつまる あつめる うがつ える
攣,レン ひく
攤,タン ダン ナン ダ ナ ひらく ひろげる
攥,サツ サチ
攦,レイ ライ シ リ レツ レチ サイ セ
攨,ワ
攩,オウ コウ ショウ ソウ トウ うつ たたく とも むれ
攪,カク コウ キョウ ギョウ みだす
攫,カク ケキ キャク ワク キョク コク つかむ さらう
攬,ラン とる
攭,レイ ライ ラ わける
攮,ドウ ノウ
支,シ キ ギ チョウ ジョウ ささえる えだ わかれる つかえる
攰,キ
攱,キ
攲,キ かたむく そばだてる
攳,シン ジン
攴,ボク ホク ハク ぼくづくり ぼくにょう とまた うつ
攵,ボク
收,シュウ おさめる
攷,コウ かんがえる
攸,ユウ ユ シュウ ところ
改,カイ キ あらためる あらたまる
攺,イ シ ジ
攻,コウ ク せめる おさめる
攼,カン ガン
攽,ハン ヒン
放,ホウ ボウ はなす はなつ はなれる おく ほしいまま ゆるす
政,セイ ショウ まつりごと ただす まさに
敀,ハク
敁,テン
敂,コウ ク
敃,ビン ミン フン
敄,ム ブ ボウ
故,コ ク ゆえ こと ことさらに ふるい もと もとより ゆえに わざと
敆,コウ ギョウ
敇,サク シャク
效,コウ ギョウ きく
敉,ビ ヒ ミ
敊,チク シュ シュウ シ
敌,カツ ゲチ
敍,ジョ ショ のべる
敎,キョウ コウ おしえる おそわる
敏,ビン ビ さとい とし
敐,シン ジン
救,キュウ ク すくう すくい
敒,チン ジン シン ショウ
敓,タツ ダチ
敔,ギョ ゴ
敕,チョク チキ みことのり
敖,ゴウ あそぶ おごる
敗,ハイ ベ やぶれる まける やぶる
敘,ジョ のべる
教,キョウ コウ おしえる おそわる おしえ しむ
敜,ジョウ ニョウ デツ ネチ
敝,ヘイ ヒ ビ ベイ ベチ ヘツ やぶれる やぶる
敞,ショウ チョウ ジョウ トウ ヘイ たかい ほがらか
敟,テン
敠,タツ タチ セツ セチ
敡,イ
敢,カン あえて あえてする
散,サン ちる ちらす ちらかす ちらかる
敤,カ
敥,エン
敦,トン ダン ドウ ジュ シュン タイ チョウ トウ あつい
敧,キ
敩,ガク まなぶ
敫,ヤク キョウ ケキ キャク
敬,ケイ キョウ うやまう つつしむ
敭,ヨウ
敮,コウ キ
敯,ビン ミン コン
数,スウ ス ショ サク ソク ショク シュク かず かぞえる しばしば せめる
敱,ガイ カイ ケ ショク ソク
敲,コウ キョウ たたく
敳,ガイ カイ ショク
整,セイ ショウ ととのえる ととのう
敵,テキ ジャク かたき あだ
敶,ジン チン
敷,フ しく
數,シュ サク ス ソク ショ ショク ソ シュク かぞえる
敹,リョウ
敺,ク オウ
敻,ケイ はるか
敼,イ
敽,キョウ ギョウ
敾,セン ゼン
斀,タク チョク トク ショク ソク
斁,エキ ト ヤク ツ ズ いとう やぶれる
斂,レン おさめる
斃,ヘイ ベ たおれる たおす
斄,リ タイ レイ ライ
斅,カク ガク ギョウ コウ おしえる まなぶ
斆,ガク まなぶ
文,ブン モン ビン ミン ふみ あや かざる
斈,ガク まなぶ
斉,セイ そろう ととのえる ひとしい
斊,セイ
斋,サイ
斌,ヒン うるわしい
斍,カク
斎,サイ シ とき いつき いつく いわい いわう
斐,ヒ あや
斑,ハン まだら
斒,ハン ヘン
斔,ユ ショウ シュ
斕,ラン レン
斖,ビ ミ
斗,ト シュ ツ トウ とます
斘,ショウ
料,リョウ はかる
斚,カ
斛,コク ゴク
斜,シャ ヤ タ ななめ
斝,カ ケ
斞,ユ
斟,シン くむ
斠,カク キョウ コウ
斡,アツ ワツ カン めぐる
斢,トウ ツ
斣,シュク トウ ツ ショク ソク
斤,キン コン おの
斥,セキ シャク タク チャク シャ さす しりぞける しりぞく
斦,ギン ゴン シツ シチ
斧,フ おの
斨,ショウ ソウ
斪,ク コウ
斫,シャク きる
斬,ザン サン きる
断,ダン タン たつ ことわる さだめる
斮,サク シャク タク ジャク きる
斯,シ ソ かく この これ ここに
新,シン あたらしい あらた にい あら さら
斱,シャク チャク
斲,タク チョク きる
斳,キン ゴン コン
斴,リン
斵,タク きる
斶,ショク ソク
斷,ダン タン たつ
斸,ショク ソク サク
方,ホウ ボウ モウ かた あたる くらべる ならべる まさに
斺,カイ ガイ
斻,コウ ゴウ
於,オ ウ ヨ おいて おける ああ に より
施,シ セ イ ほどこす しく
斾,ハイ はた
斿,ユ ル ユウ リュウ
旁,ホウ ボウ ヒョウ かたがた かたわら つくり あまねく
旂,キ ゲ はた
旃,セン はた
旄,ボウ ブ ム モウ
旅,リョ たび
旆,ハイ バイ バチ ハツ はた
旇,ヒ ビ ミ
旈,リュウ
旉,フ しく
旊,ホウ フ
旋,セン ゼン めぐる ゆばり
旌,セイ ショウ あらわす はた
旍,セイ
旎,ジ ニ ダ ナ
族,ゾク ソク ソウ ス あつまる やから
旐,ジョウ チョウ
旑,イ
旒,リュウ ル はたあし
旓,ソウ ショウ
旔,ケン コン
旖,イ
旗,キ ギ はた
旘,シ
旙,ハン はた
旚,ヒョウ
旛,ハン ホン ボン バン はた
旜,セン はた
旝,カイ ケ
旞,スイ ズイ はた
旟,ヨ はた
无,ム ブ ボ モ ない
旡,キ ケ すでのつくり
既,キ すでに つきる
旣,キ ケ すでに
旤,カ わざわい
日,ニチ ジツ ジョク ニキ ひ か ひび
旦,タン あした
旧,キュウ グ ふるい もと
旨,シ むね うまい
早,ソウ サッ サ はやい はやまる はやめる つとに さ
旪,キョウ かなう
旫,チョウ
旬,ジュン シュン キン
旭,キョク ケン コウ カン キュウ ク コク あさひ
旮,キョク カ
旰,カン くれる
旱,カン ひでり
旲,タイ ダイ エイ
旳,テキ チャク まと
旴,ク コ
旵,タン
时,ジ とき
旹,ジ とき
旺,オウ さかん
旻,ビン ミン あきぞら そら
旼,ビン ミン
旽,トン シュン
旾,シュン はる
旿,ゴ
昀,イン
昁,ハイ
昂,コウ ゴウ ギョウ あがる たかい
昃,ショク シキ ソク かたむく
昄,ハン ヘン
昅,キョウ ゴウ
昆,コン ゴン あに のち
昇,ショウ のぼる のぼせる
昈,コ ゴ
昉,ホウ はじめて まさに
昊,コウ ゴウ
昋,コウ ゴウ そら
昌,ショウ さかん
昍,ケン カン
明,メイ ミョウ ミン ベイ ボウ あかり あかるい あかるむ あからむ あきらか あける あく あくる あかす ひかり
昏,コン くらい くれ
昐,フン
昑,キン
昒,コツ コチ ブツ モチ
易,エキ イ シ ジ ヤク やさしい あなどる おさめる かえる かわる やすい
昔,セキ シャク サク むかし
昕,キン コン キ あきらか あさ
昖,エン
昗,ショク
昘,ホウ
昙,ヨク
昚,シン
昛,キョ コ
昜,ヨウ エキ イ やさしい
昝,サン
昞,ヘイ ヒョウ ホウ
星,セイ ショウ ほし
映,エイ ヨウ オウ うつる うつす はえる
昡,ケン ゲン まどう
昢,ホツ ホチ ハイ ヘ
昣,シン
昤,レイ リョウ
春,シュン はる
昦,コウ
昧,マイ メ バイ ブン モン くらい
昨,サク ザク きのう
昩,バツ マチ
昪,ヘン ベン
昫,ク キョウ あたたか
昬,コン くらい
昭,ショウ あきらか
昮,ショウ ジュ
是,ゼ ジ ダイ テイ シ ここ この これ ただしい
昰,ゼ カ
昱,イク あきらか
昲,ヒ フン フツ ハツ ハチ フ
昳,テツ デチ イツ
昴,ボウ ミョウ ル リュウ すばる
昵,ジツ ニチ ナイ シキ デイ ショク ちかづく
昶,チョウ
昷,オン
昸,トウ
昹,アイ
昺,ヘイ ホウ
昻,コウ ゴウ あがる
昼,チュウ ひる
昿,コウ あきらか むなしい
晀,チョウ ながめる
晁,チョウ ジョウ あさ
時,ジ シ とき これ ときに
晃,コウ オウ あきらか
晄,コウ あきらか
晅,ケン カン
晆,カイ ボク モク むつぶ むつまじい
晇,コ ク カ ケ
晈,キョウ コウ しろい
晉,セン シン すすむ
晊,シツ シチ
晋,シン すすむ
晌,ショウ まひる
晍,トウ
晎,コウ ク
晏,アン エン おそい やすらか
晐,カイ
晑,キョウ コウ
晒,サイ さらし さらす
晗,カン ゴン
晘,カン ゲン
晙,シュン あきらか
晚,バン マン くれ
晛,ケン ゲン デン ネン
晜,コン あに
晝,チュウ ひる
晞,キ ケ かわく
晟,セイ ジョウ
晠,セイ
晡,ホ フ ゆうがた
晢,セイ セチ セキ テチ シャク セツ テツ あきらか
晣,セイ セツ あきらか
晤,ゴ あきらか
晥,カン ゲン ガン
晦,カイ ケ くらい みそか
晧,コウ ゴウ
晨,シン ジン あした とき
晩,バン おくれる おそい くれ くれる
晪,テン
晫,タク チョク
晬,サイ スイ セ ひとまわり
晭,シュウ
普,フ ホ あまねし
景,ケイ エイ キョウ ヨウ ひかり かげ
晰,セキ あきらか
晱,セン
晲,ゲイ
晳,セキ シャク あきらか
晴,セイ はれる はらす はれ
晵,ケイ ケン
晶,ショウ セイ あきらか
晷,キ ひかげ
晸,テイ チョウ
晹,エキ ヤク セキ シャク
智,チ
晻,アン オン エン くらい
晼,エン オン
晽,リン
晾,リョウ
晿,ショウ
暀,オウ キョウ ゴウ さかん
暁,ギョウ キョウ あかつき さとる
暄,ケン カン あたたかい
暆,イ
暇,カ ゲ ひま いとま
暈,ウン かさ ぼかし ぼかす めまい くま
暉,キ かがやく ひかり
暊,フ
暋,ミン ビン コン
暌,ケイ ケ たがう
暍,エツ アツ アチ カチ カツ あたたかい あつい
暎,エイ うつる
暏,ツ ト ショ ジョ
暐,イ
暑,ショ あつい
暒,セイ はれる
暓,ボウ ム
暔,ダン ナン
暕,カン ケン フン
暖,ダン ナン カン ノ ノン ノウ ケン あたたか あたたかい あたたまる あたためる
暗,アン オン くらい やみ
暘,ヨウ
暙,シュン
暚,ヨウ
暛,サ
暜,フ あまねし
暝,メイ ミョウ ベイ くらい
暞,キョウ コウ
暟,カイ
暠,コウ しろい
暡,オウ オ
暢,チョウ のびる のぶ のべる
暣,キ ケ
暤,コウ ゴウ
暥,アン エン
暦,レキ リャク こよみ
暨,キ およぶ
暩,ケイ
暪,ボン モン
暫,ザン サン しばらく
暬,セツ ジョウ セチ ニョウ
暭,コウ
暮,ボ くれる くらす
暯,バク マク
暰,ショウ シュ
暱,ジツ ニチ ちかづく
暲,ショウ あきらか
暳,ケ ケイ
暴,ボウ バク ヒョク ハク あばく あばれる にわか
暵,カン かわく ひでり
暶,セン ゼン
暷,テン
暸,リョウ
暹,セン
暺,タン ダン
暻,ケイ キョウ
暼,ヘツ ヘチ
暽,リン
暾,トン あさひ
暿,キ
曀,エイ イ エツ エチ
曁,キ ケ キツ コチ カイ およぶ と ともに
曂,コウ オウ
曃,タイ ダイ
曄,ヨウ ユウ オウ かがやく
曅,ヨウ かがやく
曆,レキ リャク こよみ
曇,ドン タン くもる くもり
曈,トウ ツ
曉,ギョウ あかつき
曊,ヒ
曋,シン
曌,ショウ
曍,コウ
曎,エキ ヤク
曏,コウ キョウ ショウ さきに
曐,セイ ほし
曑,シン
曒,キョウ コウ ゴウ
曓,ホウ ボウ
曔,ケイ キョウ
曕,エン
曖,アイ くらい
曗,ヨウ
曘,ジュ ニュ
曙,ショ あけぼの
曚,モウ ボウ モ くらい
曛,クン
曜,ヨウ かがやく
曝,バク ホク ホウ ボウ ボク さらす
曞,レイ
曟,シン
曠,コウ あきらか むなしい むなし
曡,ジョウ チョウ たたみ
曣,エン アン
曤,カク
曥,リョ ロ
曦,ギ キ
曧,ユウ ユ
曨,ロウ ル
曩,ドウ ノウ さき さきに
曪,ラ
曫,ラン バン マン レン
曬,サイ シ サ チ さらす
曭,トウ
曮,ガン ゴン ゲン
曯,ショク ソク
曰,エツ オチ いわく ここに のたまわく ひらび いう いはく のたまう
曱,オウ
曲,キョク コク ク まがる まげる くま つぶさに くせ
曳,エイ ひく ひき
更,コウ キョウ さら ふける ふかす あらためる かえる かわる こもごも さらに
曵,エイ ひく
曶,コツ コチ
曷,カツ アツ アチ なに いずくんぞ なんぞ
書,ショ かく ふみ
曹,ソウ ゾウ ともがら
曺,ソウ
曻,ショウ のぼる
曼,マン バン ながい
曽,ソウ ソ かつて
曾,ソ ソウ ゾ ゾウ かつて すなわち なんぞ
替,タイ テイ テツ テチ かえる かわる
最,サイ サツ もっとも も
朁,サン セン ゼン ソン
朂,キョク コク つとめる
會,カイ カツ エ カチ あう
朄,イン
朅,ケツ ケチ コチ
朆,フ
朇,ヒ
月,ゲツ ガツ ガチ つき
有,ユウ ウ ある たもつ また
朊,ゲン ガン
朋,ホウ とも
朌,ハン
服,フク ブク ヒョク フウ フ したがう
朎,レイ リョウ
朏,ヒ ハイ ヘ ホツ ホチ キツ コチ みかづき
朐,ク キョウ くびき
朒,ジク ニク
朓,チョウ ジョウ ヨウ
朔,サク ソク ついたち
朕,チン ジン われ
朖,ロウ ほがらか
朗,ロウ ほがらか あきらか
朘,セン サイ セ サ スイ
朙,メイ あかるい
朚,コウ ボウ モウ
望,ボウ モウ のぞむ のぞみ もち
朜,トン
朝,チョウ チュ あさ あした
朞,キ
期,キ ゴ ギ
朠,エイ ヨウ
朡,ソウ ス
朢,ボウ モウ のぞむ
朣,ドウ トウ ツ
朤,ロウ
朦,モウ ボウ モ おぼろ
朧,ロウ ル おぼろ
木,ボク モク き こ
朩,ハツ ハチ ハイ ヘ
未,ミ ビ いまだ ひつじ
末,マツ バツ ベキ ミャク マチ すえ なし
本,ホン もと
札,サツ サチ アツ アチ シツ シチ セツ セチ ふだ
朮,ジュツ ジュチ シュツ チュツ もちあわ おけら
术,ジュツ シュツ スイ おけら もちあわ
朱,シュ あか あけ
朲,ジン ニン
朳,ハツ ハチ ヘツ ヘチ えぶり さらえ
朴,ボク ホウ ホク フ ヒュウ ハク ほお
朵,ダ タ えだ
朶,ダ タ えだ
朷,トウ チョウ ジョウ ボク モク
朸,リョク リキ ロク キョク キン ゴン おうご
朹,キュウ グ キ
机,キ ガイ つくえ
朻,キュウ ク キョウ グ
朼,ヒ
朽,キュウ ク くちる
朾,トウ ジョウ テイ チョウ
朿,シ キョク コキ とげ
杀,サツ
杁,いり
权,ケン ゴン おもり はかる
杄,セン
杅,ウ
杆,カン
杇,オ ウ コ ゴ こて
杈,サ シャ セ サイ あじか えだ やらい やす
杉,サン セン すぎ
杊,シュン ジュン
杋,ハン ボン ヘン
杌,ゴツ グツ グチ ゲチ ゲツ ガチ ガツ
杍,シ リ
李,リ すもも
杏,キョウ アン コウ あんず
材,ザイ サイ
村,ソン むら
杒,ジン ニン ジ ニ
杓,シャク ヒョウ テキ チョウ ひしゃく
杔,タク チャク
杕,テイ ダイ タ ダ かじ
杖,ジョウ つえ
杗,ボウ モウ ム
杘,チ ジ ニ くそ
杙,ヨク ヨキ くい
杚,コツ クチ カイ
杛,キュウ ク
杜,ト ズ ド もり ふさぐ
杝,イ シ チ ジ リ タ タイ デ
杞,キ コ シ ジ カイ ガイ
束,ソク ショク シュ たば つか たばねる つかねる
杠,コウ ク ちぎ
条,ジョウ チョウ テキ えだ すじ
杢,もく
杣,そま
杤,とち
来,ライ くる きたる きたす
杦,すぎ
杪,ビョウ ソウ ショウ ミョウ こずえ
杫,シ
杬,ゲン ガン
杭,コウ ゴウ くい わたる
杮,ハイ こけら
杯,ハイ ヘ さかずき
杰,ケツ ゲチ
東,トウ ひがし あずま
杲,コウ ゴウ あきらか たかい
杳,ヨウ くらい はるか
杴,ケン コン
杵,ショ きね つち
杶,チュン
杷,ハ ワ ベ ハイ つか え さらい
杸,シュ ジュ タイ テ
杹,カ ケ
杺,シン
杻,チュウ ジュウ ニュ チュン てかせ
杼,ジョ ショ チョ ひ
杽,チュウ
松,ショウ ジュ まつ
板,ハン バン ベン いた
枀,ショウ まつ
极,キョウ ギョウ
枂,ガツ ガチ ゲツ
枃,シン ウン イン
构,コウ ク
枅,ケイ
枆,ボウ モウ
枇,ビ ヒ ヘイ
枈,ヒ ヘイ
枉,オウ ゴウ キョウ まがる まげて まげる
枊,ゴウ
枋,ホウ ヘイ ボウ ヒョウ
枌,フン ブン そぎ
枍,エイ
枎,フ ブ
枏,ダン ナン ゼン ネン
析,セキ シャク シ さく
枑,コ ゴ
枒,ヤ ガ
枓,トウ シュ ツ ますがた ひしゃく
枔,シン ジン
枕,チン シン ジン まくら
枖,ヨウ
林,リン はやし
枘,ゼイ ネ ナン ドン ほぞ
枙,カ ガ アク ヤク
枚,マイ バイ びら ひら みき
枛,ソウ ショウ はぬ はの はのき
果,カ ワ ラ カン はたす はてる はて はたして
枝,シ キ ギ えだ
枞,ショウ
枟,ウン
枠,わく
枡,ます
枢,スウ オウ シュ かなめ くるる とぼそ
枣,ソウ なつめ
枦,ヘ ロ はじ うつぎ はぜ
枩,ショウ まつ
枬,もみじ
枮,セン チン
枯,コ ク ゴ かれる からす
枰,ヘイ ビョウ
枱,イ シ ジ ダイ
枲,シ あさ からむし
枳,キ シ ギ からたち
枴,カイ カ
枵,キョウ むなしい
架,カ ケ かける かかる たな
枷,カ ケ ガ キャ かせ からざお くびかせ
枸,ク コウ くこ
枹,フ ブ ヒョウ フウ ホウ ばち
枺,バツ マチ
枻,エイ セツ かい かじ
枼,ヨウ
枽,ソウ
枾,シ かき
枿,ガチ ガツ ゲツ ひこばえ
柀,ヒ かや すぎ
柁,ダ タ かじ
柂,ダ かじ
柃,レイ リョウ ひさかき
柄,ヘイ ヒョウ がら え つか
柅,ニ ジ ニチ ジツ デイ ナイ
柆,ロウ
柇,カ ガ
柈,ハン バン たらい はち
柉,ハン ボン ヘン ベン
柊,シュウ シュ ひいらぎ
柋,タイ ダイ
柌,シ
柍,ヨウ オウ エイ
柎,フ ブ うてな
柏,ハク ヒャク かしわ このてがしわ
某,ボウ バイ モ メ それがし
柑,カン ゲン ケン みかん
柒,シツ シチ うるし
染,セン ネン ゼン そめる そまる しみる しみ
柔,ジュウ ニュウ ショ ニュ やわらか やわらかい やわら やわらげる
柕,ボウ わき
柖,ショウ ジョウ
柗,ショウ まつ
柘,シャ つげ やまぐわ
柙,コウ ゴウ オウ はこ おり
柚,ユウ ユ チク ジク ゆず
柛,シン
柜,キョ コ ク
柝,タク き
柞,サク シャク サ ジャ ザク ははそ
柟,ダン ナン ゼン
柠,チョ こうぞ
柡,エイ ヨウ
柢,テイ タイ シ ジ ね
柣,ジチ セチ デチ チツ セツ テツ とじきみ
柤,ソ サ シャ ショ
查,サ しらべる
柦,タン ダン
柧,コ ク カ ケ
柨,ホ フ
柩,キュウ グ ひつぎ
柪,オウ ヨウ
柫,フツ ブチ ヒツ ビチ
柬,カン ケン えらぶ
柭,ハツ ハチ フツ フチ ハイ バイ ヘツ ヘチ
柮,トツ トチ ジュツ ニュチ ダツ ネチ サツ ゴツ ゴチ
柯,カ え
柰,ダイ ナイ ナ いかに いかん いかんぞ からなし
柱,チュウ チュ ジュ はしら ことじ ささえる
柲,ビチ ベチ ヒ ヒツ ヘツ え
柳,リュウ ル やなぎ
柴,サイ ゼ ジャ サ シ しば
柵,サク シャク サン セン セキ しがらみ とりで
柶,シ
柷,シュク
柸,ハイ ヘ
柹,シ ジ かき
柺,カイ カ ケ ダイ タイ つえ
査,サ シャ ゼ サイ しらべる
柼,オウ ヨウ
柽,ケツ
柾,キュウ まさ
柿,シ かき
栀,シ くちなし
栁,リュウ やなぎ
栂,つが とが
栃,とち
栄,エイ ヨウ さかえる はえ はえる
栅,サク しがらみ やらい
栐,エイ ヨウ
栒,シュン
栓,セン サン
栔,ケイ ケツ ケチ
栕,シン
栖,セイ サイ すむ
栗,リツ リチ レツ レチ くり
栘,イ ザイ ゲイ セイ ケイ サイ エ
栙,コウ ゴウ
栚,チン ジン
栛,レイ ライ
栜,サク シャク セキ チャク シ テキ
栝,カツ ケ カチ カイ テン びゃくしん
栞,カン ケン しおり
栟,ヘイ
栠,ジン ニン
校,コウ キョウ ギョウ くらべる
栢,ハク かしわ
栣,ジン
栤,ヒョウ ビョウ
栥,シ とがた
栦,シュウ ジュウ
栧,エイ かい
栨,セツ セチ シ
栩,ク チョ ウ くぬぎ
株,チュ シュ かぶ
栫,セン ソン
栬,セ セイ もみじ
栭,ジ ニ ますがた
栮,ジ ニ きくらげ
栯,ウ イク ユウ
栰,ボチ バツ ハツ いかだ
栱,キョウ ク ますがた
栲,コウ たえ
栳,ロウ
栴,セン
栵,レチ ライ レツ レイ
栶,イン
样,ヨウ ショウ ゾウ ソウ
核,カク カイ コツ ギャク ゴク ゴチ さね
根,コン ね ねざす
栺,ケイ ゲイ シ
栻,ショク チョク チキ シキ
格,カク コウ キャク ラク いたる ただす
栽,サイ ザイ うえる
栾,ラン ひじき
栿,フク ブク
桀,ケツ ケチ ゲチ
桁,コウ ギョウ ゴウ けた
桂,ケイ ケ かつら
桃,トウ チョウ ショ ジョ ジョウ もも
桄,コウ たがやさん みちる よこぎ
桅,キ ガイ ゲ ほばしら
框,コウ キョウ かまち
桇,ジョ ニョ
案,アン つくえ あんず
桉,アン つくえ
桊,ケン
桋,イ テイ ダイ
桌,タク チョク つくえ
桍,コ ク
桎,シツ シチ チ あしかせ
桏,キョウ グ
桐,トウ ドウ ズ きり
桑,ソウ くわ
桒,ソウ くわ
桓,カン ガン
桔,キツ ケツ ケチ ゲチ
桕,キュウ
桖,ケツ
桗,タ
桘,ツイ
桙,ム ウ
桛,かせ
桜,オウ ヨウ さくら
桝,ます
桟,サン セン シン かけはし たな
档,トウ
桧,カイ ひのき ひ
桫,サ
桬,サ シャ
桭,シン
桮,ヘ ハイ さかずき
桯,エイ テイ ケイ チョウ ギョウ ヨウ
桰,カツ カチ
桱,ケイ キョウ
桲,ホツ ボチ
桳,ホン ボン
桴,フ ブ フウ いかだ ばち
桵,ズイ ニ
桶,トウ ツ ツウ ヨウ ユ おけ
桷,カク たるき ずみ
桸,キ ケ
桹,ロウ
桺,リュウ やなぎ
桻,ホウ フ
桼,シツ シチ うるし
桽,オン
桾,クン
桿,カン ガン
梀,ソク ショク チョク チク イン オン
梁,リョウ ロウ うつばり はし はり やな
梂,キュウ グ キョク コク キク
梃,チョウ テイ ジョウ つえ てこ
梄,ユウ
梅,バイ メ うめ
梆,ホウ
梇,ロウ ル
梈,ホウ ヒョウ
梉,ソウ ショウ
梊,テツ デチ テイ タイ
梋,ケン セン ゼン ゲイ ゲ エン
梌,ト ズ タ デ ユ
梍,オウ ソウ ゾウ
梎,オウ ヨウ ユウ ユ
梏,コク キョク カク てかせ
梐,ヘイ ベイ こまよけ ひとや
梑,テキ ジャク
梒,カン ゴン
梓,シ あずさ
