㐀,キュウ おか
㕻,トウ ツ ホウ フ
㕼,コウ
㕽,シ
㖀,ロツ ロチ
㖁,リン おしむ
㖂,エイ セツ セチ セイ ゼイ
㖃,コウ ク
㖄,シュウ
㖅,シュツ シュチ
㖆,キュウ ク キョク コク キク
㖇,ニ ジ
㖏,デツ ネチ
㖐,イ
㖑,カイ ケ
㖒,テイ
㖓,コウ
㖔,トン チン
㖕,ガツ ガチ
㖖,ガツ
㖗,ギン
㖘,シン
㖟,シュウ ジュ
㖠,ダ ナ
㖡,ヤ エ
㖢,シ ジ イ
㖣,トウ
㖤,カン ゴン
㖥,キン ゴン
㖦,トウ ツ
㖧,コン ブン
㖨,ロク
㖩,シュ ユ ソウ
㖪,イク ケキ キョク カク キャク
㖫,リョウ
㖶,エツ
㖷,シ テイ ダイ
㖸,キャク
㖹,ホン ボン フン
㖺,シュン
㖻,ジュウ ニュ
㖼,ボウ
㖾,ガク おどろく
㖿,シャ ジャ ヤ
㗀,ユウ
㗁,ガク
㗂,セイ ショウ
㗃,ブン
㗄,マン
㗅,コ ゴ
㗆,カク キャク
㗇,カ ゲ
㗉,リャク ガク
㗊,シュウ キュウ コウ ホウ ライ
㗋,コウ のど
㗌,チツ チチ
㗍,タイ
㗐,コウ あう
㗓,ツイ タイ テ
㗔,ケン
㗕,コウ ク
㗖,タン くう
㗗,ハイ ヘ
㗘,ハク
㗙,シュ ドウ ノウ
㗚,リツ リチ
㗛,ショウ
㗜,キュウ
㗢,コウ グ トウ ズ ク
㗣,テイ
㗤,シュク
㗥,カク
㗦,ロウ
㗧,チツ テツ テチ
㗨,カイ ケ アイ ア キツ コチ
㗩,シュウ
㗪,ヒ
㗫,セツ セチ セイ サイ サツ
㗬,タ
㗭,シツ
㗱,シュウ
㗲,カク ギャク
㗳,トウ
㗴,ガン ゲン
㗵,クツ クチ
㗶,ハツ
㗻,カ
㗼,ギョウ ゴウ
㗽,キョウ コウ
㗾,カ
㗿,カ ケ
㘀,サク
㘁,エキ ヤク
㘂,シ ジ
㘅,カン
㘆,タイ ダイ
㘇,エイ ヨウ
㘈,ギョク ゴキ ギ
㘉,シツ シチ
㘊,ユウ キュウ コウ
㘋,ケン ゲン
㘌,ケキ ギャク
㘍,シツ シチ
㘐,ホウ ヒョウ
㘑,レイ ライ
㘓,ラン
㘕,ラン カン
㘖,ガン ゲン
㘙,ガン ゲン ゲキ ギャク
㘛,カン
㘜,シュウ
㘝,ジュウ ノウ ドウ ニョウ
㘞,カ ワ
㘠,ヒョク ヒキ
㘡,コウ
㘢,オウ
㘣,ケン セン ゼン
㘤,ワン エン
㘥,ユウ
㘦,キン ゴン
㘧,ジョ
㘨,カイ ケ ジョウ ニョウ
㘩,ヒ
㘪,コウ
㘫,セイ ジョウ
㘬,ブツ
㘭,オウ
㘰,シン
㘱,タン
㘲,キク コク
㘳,キュウ
㘴,ザ すわる
㘶,ケツ
㘷,ガイ
㘸,ザ
㘹,シ
㘺,ハツ
㘻,イン
㘿,デツ ネチ
㙀,リュウ ル キュウ ク
㙁,バイ メ ボク モク
㙂,タイ
㙃,ホウ
㙄,ヘイ きざはし
㙅,ホウ
㙇,チョク チク ジョク ニク
㙈,カ ケ
㙉,テン
㙊,チョウ ジョウ
㙎,イ
㙏,フク
㙐,タ
㙑,ウ
㙒,ヤ の
㙓,キ ギ
㙔,カン イ
㙕,カイ
㙙,リョウ リュ ボウ モ モウ
㙚,セイ ショウ
㙛,ホ フ
㙝,キョウ コウ
㙞,ギツ ゴチ
㙠,エイ
㙡,ショウ シュ
㙢,バン マン ぬる
㙣,チョウ
㙤,カ ケ
㙥,コン
㙧,リュウ ル
㙨,キ
㙩,リョウ
㙪,エイ イ
㙫,シュウ
㙬,ギン
㙯,ゲイ
㙰,カイ
㙱,コウ
㙲,ヨウ ふさぐ
㙳,カン
㙴,セン
㙵,タイ
㙶,ドウ
㙷,チョウ チュウ
㙸,ハク
㙹,ボウ モウ
㙺,キ
㙻,テン
㙼,ルイ
㙾,カク
㚀,キ
㚁,キョウ
㚂,ドウ ノウ
㚃,ウン イン エツ エチ
㚅,リュ リュウ
㚆,フク ブク かえる
㚇,ソウ ス
㚈,ショウ ます
㚉,コ ク もうかる
㚊,カイ
㚋,チョウ
㚌,カ
㚍,カイ ケ
㚐,トウ
㚑,レイ リョウ みたま たま くし
㚒,セン セキ シャク
㚓,ライ
㚔,ジョウ ニョウ ニュウ コウ
㚕,ヒツ ビチ フツ ブチ
㚖,コウ タク セキ シャク ジャク
㚗,シャ ジャ
㚘,ハン バン
㚙,カ
㚚,コウ
㚜,ヨク オキ キョク ケキ
㚝,ケイ ケ
㚞,シン
㚠,キョウ
㚡,キ
㚢,ド
㚣,コウ
㚤,ヨク ヨキ
㚥,ウ
㚦,キ
㚧,ゲン
㚩,ゼン ネン デン
㚪,コウ
㚫,ソウ
㚬,キン
㚭,ユウ ウ
㚮,タン
㚰,ハイ ヒ
㚱,キュウ ク
㚲,セン ショウ テン
㚳,カ
㚴,ホ フ
㚵,トウ ツ
㚶,ジ
㚷,デイ
㚸,シ
㚹,ボウ ミョウ
㚺,ヨウ
㚻,キ
㚼,コウ
㚽,コウ キョウ
㚾,ケイ キョウ
㚿,ホウ
㛁,ホウ ヒョウ
㛂,ガ ダ ナ
㛃,ケツ ケチ
㛄,エ イ
㛅,ジ ニ
㛆,タ
㛍,キョウ ショウ
㛎,リョ ロ
㛏,キュウ グ
㛐,ソウ あによめ
㛑,サン
㛒,トウ ツ
㛓,チ キ ケ
㛔,ホウ
㛕,オウ
㛖,サ
㛗,サ
㛘,ホツ ホチ
㛙,シン
㛚,トウ ツ ヨウ ユ
㛛,シン
㛜,ユウ ニ
㛝,ハイ
㛞,ロウ ル
㛥,トウ
㛦,ラン
㛧,バン マン
㛨,キョウ コウ
㛩,チク
㛪,エン
㛫,セキ シャク
㛬,リク ロク
㛭,セキ シャク
㛮,ソウ あによめ
㛯,テン ベン
㛰,コン
㛱,ワイ エ
㛳,エイ セイ
㛴,ドウ ノウ
㛵,ショウ
㛶,タン
㛷,ケイ
㛸,シュ
㛹,ヘン ベン
㛺,アン オン
㛻,カイ ケ
㛼,チョウ ソウ
㛽,サン
㛾,カン ガン
㜂,ホウ フ
㜃,レン
㜄,シン ジン
㜅,チク キク
㜆,ベイ メイ
㜇,スイ ズイ ヨウ イ いかる
㜈,ボク モク
㜉,ヨウ ユ
㜊,テン
㜋,エキ ヤク
㜌,ドウ ヌ コウ ク
㜍,トウ ドウ
